Timestamp,Power,Max Error,Min Error
1/1/2018 0:00,0,1,0
1/1/2018 0:15,0,1,0
1/1/2018 0:30,0,1,0
1/1/2018 0:45,0,1,0
1/1/2018 1:00,0,1,0
1/1/2018 1:15,0,1,0
1/1/2018 1:30,0,1,0
1/1/2018 1:45,0,1,0
1/1/2018 2:00,1.562,2.562,0.562
1/1/2018 2:15,0.514,1.514,0
1/1/2018 2:30,0,1,0
1/1/2018 2:45,0,1,0
1/1/2018 3:00,0.74,1.74,0
1/1/2018 3:15,2,3,1
1/1/2018 3:30,4.123,5.123,3.123
1/1/2018 3:45,4.42,5.42,3.42
1/1/2018 4:00,3.15,4.15,2.15
1/1/2018 4:15,5.67,6.67,4.67
1/1/2018 4:30,4.563,5.563,3.563
1/1/2018 4:45,3.73,4.73,2.73
1/1/2018 5:00,3,4,2
1/1/2018 5:15,4,5,3
1/1/2018 5:30,1.987,2.987,0.987
1/1/2018 5:45,3,4,2
1/1/2018 6:00,2,3,1
1/1/2018 6:15,3,4,2
1/1/2018 6:30,2.753,3.753,1.753
1/1/2018 6:45,2.011,3.011,1.011
1/1/2018 7:00,1.4,2.4,0.4
1/1/2018 7:15,0,1,0
1/1/2018 7:30,0,1,0
1/1/2018 7:45,0,1,0
1/1/2018 8:00,0.541,1.541,0
1/1/2018 8:15,1.591,2.591,0.591
1/1/2018 8:30,0.003,1.003,0
1/1/2018 8:45,0,1,0
1/1/2018 9:00,0.001,1.001,0
1/1/2018 9:15,0,1,0
1/1/2018 9:30,0,1,0
1/1/2018 9:45,0,1,0
1/1/2018 10:00,0,1,0
1/1/2018 10:15,0,1,0
1/1/2018 10:30,0.001,1.001,0
1/1/2018 10:45,0,1,0
1/1/2018 11:00,0,1,0
1/1/2018 11:15,0,1,0
1/1/2018 11:30,0,1,0
1/1/2018 11:45,0,1,0
1/1/2018 12:00,0,1,0
1/1/2018 12:15,0,1,0
1/1/2018 12:30,0,1,0
1/1/2018 12:45,0,1,0
1/1/2018 13:00,0,1,0
1/1/2018 13:15,0,1,0
1/1/2018 13:30,0.001,1.001,0
1/1/2018 13:45,0.001,1.001,0
1/1/2018 14:00,0,1,0
1/1/2018 14:15,0,1,0
1/1/2018 14:30,0.001,1.001,0
1/1/2018 14:45,0,1,0
1/1/2018 15:00,0,1,0
1/1/2018 15:15,0,1,0
1/1/2018 15:30,0,1,0
1/1/2018 15:45,0,1,0
1/1/2018 16:00,0,1,0
1/1/2018 16:15,0,1,0
1/1/2018 16:30,0,1,0
1/1/2018 16:45,0,1,0
1/1/2018 17:00,0,1,0
1/1/2018 17:15,0,1,0
1/1/2018 17:30,0,1,0
1/1/2018 17:45,0,1,0
1/1/2018 18:00,0,1,0
1/1/2018 18:15,0,1,0
1/1/2018 18:30,0,1,0
1/1/2018 18:45,0,1,0
1/1/2018 19:00,0,1,0
1/1/2018 19:15,0,1,0
1/1/2018 19:30,0,1,0
1/1/2018 19:45,0,1,0
1/1/2018 20:00,0.003,1.003,0
1/1/2018 20:15,0.01,1.01,0
1/1/2018 20:30,0.001,1.001,0
1/1/2018 20:45,0,1,0
1/1/2018 21:00,0,1,0
1/1/2018 21:15,0,1,0
1/1/2018 21:30,0,1,0
1/1/2018 21:45,0,1,0
1/1/2018 22:00,0,1,0
1/1/2018 22:15,0,1,0
1/1/2018 22:30,0,1,0
1/1/2018 22:45,0,1,0
1/1/2018 23:00,0,1,0
1/1/2018 23:15,0,1,0
1/1/2018 23:30,0,1,0
1/1/2018 23:45,0,1,0
