timestamp,Time ,Garbage,value
2018-01-01 0:00,2018-01-01 00:00:00 PST,,
2018-01-01 0:15,2018-01-01 00:15:00 PST,,
2018-01-01 0:30,2018-01-01 00:30:00 PST,,
2018-01-01 0:45,2018-01-01 00:45:00 PST,,
2018-01-01 1:00,2018-01-01 01:00:00 PST,,
2018-01-01 1:15,2018-01-01 01:15:00 PST,,
2018-01-01 1:30,2018-01-01 01:30:00 PST,,
2018-01-01 1:45,2018-01-01 01:45:00 PST,,
2018-01-01 2:00,2018-01-01 02:00:00 PST,,
2018-01-01 2:15,2018-01-01 02:15:00 PST,,
2018-01-01 2:30,2018-01-01 02:30:00 PST,,
2018-01-01 2:45,2018-01-01 02:45:00 PST,,
2018-01-01 3:00,2018-01-01 03:00:00 PST,,
2018-01-01 3:15,2018-01-01 03:15:00 PST,,
2018-01-01 3:30,2018-01-01 03:30:00 PST,,
2018-01-01 3:45,2018-01-01 03:45:00 PST,,
2018-01-01 4:00,2018-01-01 04:00:00 PST,,
2018-01-01 4:15,2018-01-01 04:15:00 PST,,
2018-01-01 4:30,2018-01-01 04:30:00 PST,,
2018-01-01 4:45,2018-01-01 04:45:00 PST,,
2018-01-01 5:00,2018-01-01 05:00:00 PST,,
2018-01-01 5:15,2018-01-01 05:15:00 PST,,
2018-01-01 5:30,2018-01-01 05:30:00 PST,,
2018-01-01 5:45,2018-01-01 05:45:00 PST,,
2018-01-01 6:00,2018-01-01 06:00:00 PST,,
2018-01-01 6:15,2018-01-01 06:15:00 PST,,
2018-01-01 6:30,2018-01-01 06:30:00 PST,,
2018-01-01 6:45,2018-01-01 06:45:00 PST,,
2018-01-01 7:00,2018-01-01 07:00:00 PST,,
2018-01-01 7:15,2018-01-01 07:15:00 PST,,
2018-01-01 7:30,2018-01-01 07:30:00 PST,,
2018-01-01 7:45,2018-01-01 07:45:00 PST,,
2018-01-01 8:00,2018-01-01 08:00:00 PST,,
2018-01-01 8:15,2018-01-01 08:15:00 PST,,
2018-01-01 8:30,2018-01-01 08:30:00 PST,,
2018-01-01 8:45,2018-01-01 08:45:00 PST,,
2018-01-01 9:00,2018-01-01 09:00:00 PST,,
2018-01-01 9:15,2018-01-01 09:15:00 PST,,
2018-01-01 9:30,2018-01-01 09:30:00 PST,,
2018-01-01 9:45,2018-01-01 09:45:00 PST,,
2018-01-01 10:00,2018-01-01 10:00:00 PST,,
2018-01-01 10:15,2018-01-01 10:15:00 PST,127.0kW,127
2018-01-01 10:30,2018-01-01 10:30:00 PST,116.5kW,116.5
2018-01-01 10:45,2018-01-01 10:45:00 PST,124.2kW,124.2
2018-01-01 11:00,2018-01-01 11:00:00 PST,119.4kW,119.4
2018-01-01 11:15,2018-01-01 11:15:00 PST,120.6kW,120.6
2018-01-01 11:30,2018-01-01 11:30:00 PST,120.4kW,120.4
2018-01-01 11:45,2018-01-01 11:45:00 PST,117.8kW,117.8
2018-01-01 12:00,2018-01-01 12:00:00 PST,123.0kW,123
2018-01-01 12:15,2018-01-01 12:15:00 PST,127.6kW,127.6
2018-01-01 12:30,2018-01-01 12:30:00 PST,124.4kW,124.4
2018-01-01 12:45,2018-01-01 12:45:00 PST,122.4kW,122.4
