Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
1/1/2018,0,0,0,0,0,0,0,0,1.562,0.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.541,1.591,0.003,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.01,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2018,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,1.457,0.119,0.009,0,0,0,0,0,3.091,3.217,2.882,1.708,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.169,3.261,6.531,6.529,5.789,4.917,2.658,4.319,3.264,6.437,6.518,12.131,12.279,12.283,12.026,9.305,5.238,2.623,1.589,0.339,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0.001,0,0,0,3.208,3.286,3.082,1.715,0.079,0,0,0,0.001,2.521,3.244,6.502
1/3/2018,6.605,6.601,6.6,7.604,8.15,6.645,6.624,6.622,5.458,3.738,2.129,0.721,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.159,3.236,4.901,3.809,5.722,3.312,3.297,2.912,1.347,3.021,8.821,15.54,14.785,14.788,16.501,15.804,14.432,14.521,10.569,4.676,3.357,3.339,3.318,3.34,3.224,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0.001,0,0,0,2.889,5.754,5.734,5.726
1/4/2018,8.423,7.467,6.202,8.792,12.268,12.395,12.39,12.367,12.368,11.508,9.543,6.276,3.309,2.485,2.481,2.475,2.467,1.347,0,0,0.001,0,3.277,3.279,3.277,3.279,3.275,2.509,1.536,0.581,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,2.791,3.295,3.3,3.297,3.296,3.076,1.893,0.818,0,5.986,16.342,19.81,19.605,17.432,14.885,11.939,10.109,9.241,7.583,4.592,2.339,0.621,0,0,0.001,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0
1/5/2018,2.493,6.181,6.395,4.931,6.332,6.481,6.486,6.495,6.504,5.996,4.393,1.842,0.297,0,0,0,0,0,0,0,0.237,3.271,3.25,4.593,4.636,1.733,0.142,0.001,0,0,0,0,0,0,0.003,0,0,0,0,0.003,0,0,0,0,0,8.708,3.195,3.195,5.902,9.453,6.412,3.199,3.205,3.178,3.244,9.135,12.793,15.405,18.117,15.575,15.631,14.184,14.515,14.366,12.226,5.567,3.52,1.98,0.29,0,0,0,0.005,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.539,1.956,0.001,0,0,0,0,3.158
1/6/2018,3.257,6.047,6.515,9.627,8.448,6.885,6.497,6.506,5.715,3.151,0.53,0.009,0.009,0.01,0.009,0.009,0.009,0.01,0.009,1.188,0.938,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.005,0.009,3.209,3.28,3.274,3.274,3.273,3.281,2.536,0.772,0.009,0.009,0.009,0.009,1.044,0.992,0,0,0,0,0,0,0,3.069,3.273,3.268,3.27,3.273,3.275,3.273,2.122,0.546,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.01,0.009,1.702,0.508,0,0,0,0,0,0,0,0.003
1/7/2018,0.009,0.009,0.009,0.009,0.009,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.382,1.83,0.001,0,0,0,0,0,0,0,0,0,0,2.517,3.298,2.167,0.131,0,0,0,0,0,0,0,0.006,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.01,0.009,0.009,0.009,0.009,0.009,1.124,0.778,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.005,0.009,0.009,0.014,0.017,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
1/8/2018,0.521,1.574,0,0,0,1.676,0.724,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,3.009,3.288,3.261,3.292,3.283,3.277,3.301,3.275,3.28,3.288,3.292,6.362,6.374,1.846,0.758,0,0,0,0,0,0,0,0,3.159,2.207,0.18,1.401,3.275,3.274,2.997,1.618,0.001,3.022,3.205,9.538,12.605,13.027,15.875,14.921,17.905,15.111,14.832,14.689,13.761,11.506,9.847,8.72,6.982,5.3,3.706,0,0,0,3.063,3.241,2.987,1.652,0.075,0,0,2.986,3.281,3.273,2.971,1.226,0.001,0,0.032,3.246,2.215,0.193,0,2.653
1/9/2018,6.132,6.547,6.856,4.073,2.518,2.529,2.525,2.532,2.53,2.538,2.509,2.494,2.498,2.494,2.496,2.495,2.492,2.489,2.532,2.54,2.529,2.524,2.521,2.524,2.518,2.501,2.496,2.481,1.952,0.042,0,0,3,3.282,0,0,0,0,0,0,0,0,0,0,0,0,3.145,3.106,0,0,0,6.317,6.381,6.525,6.514,5.335,10.095,12.284,11.619,9.996,11.95,13.918,10.44,9.606,8.327,6.82,6.55,5.617,4.481,3.201,1.528,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,3.092,3.22,1.988,3.465,5.618,5.792,5.545,4.263,2.812
1/10/2018,2.511,8.034,5.798,5.778,5.782,5.793,5.142,3.239,0.2,0,0,3.162,2.011,0.369,0,0,0.003,0,0.001,0.001,0,0,0,0,0.001,0,0,0,3.559,6.577,6.592,6.588,6.285,5.066,3.87,3.301,3.303,3.247,0,0,0,0,0,0,6.945,9.531,8.677,6.784,3.311,3.311,3.295,3.291,3.292,3.295,6.408,6.513,14.405,14.16,13.154,13.176,12.642,11.279,9.487,5.27,0.719,0,0.001,0.002,0,0,0,0,3.093,3.321,3.329,2.64,1.068,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0
